Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Saajan Ki Saheli,1981,120,5.5,44,98,5
Chanakya,2019,147,5.4,492,1224,9
Khaan Dost,1976,157,5.6,38,168,5
Kalsandhya,1997,124,7.8,11,8,1
Ippadikku En Kadhal,2007,115,5.0,0,8,16
Chottanikkara Amma,1976,132,6.6,8,8,9
Sutradhaarulu,1990,120,8.1,55,815,17
Butter & Cheese,2014,13,5.0,0,219,11
That Girl in Yellow Boots,2010,103,6.6,3574,6816,6
Aanamuttathe Aangalamar,2000,108,5.0,0,58,9
Jhankar,1942,120,5.0,0,0,5
Ira Thedunna Manushyar,1981,120,5.0,0,0,9
Aideu,2007,91,5.0,0,0,1
American Desi,2001,100,6.6,1583,5819,5
Chettayees,2012,120,4.7,134,9,9
Ambalakkara Panchayath,1988,120,5.0,0,0,9
Khape,0,120,5.0,0,8,4
Supportive Men,2014,21,5.0,0,7219,11
Vivash,0,120,5.0,0,0,5
 Alif Laila,1997,120,5.0,0,210,19
Poila April,2021,120,5.0,0,8,2
Bachelor Husband,1950,120,5.0,0,0,5
Oru Nadigai Natakam Pakiral,1978,131,6.2,12,0,16
Dunia Gol Hai,1974,120,5.0,0,0,19
Chalta Purza,1958,120,5.0,0,10,5
Hichki,2018,116,7.5,10905,58,5
Lover Boy,1985,120,4.1,19,819,5
Babul,1986,162,4.8,9,8,5
Babu,2020,26,5.0,0,218,11
Swabhimaan,2019,122,5.0,0,8,4
Meera,1947,120,7.7,14,0,5
Red Indians,2001,120,4.7,15,0,9
Navabharata,1988,120,5.0,0,0,6
Tribhanga,2021,95,6.1,2406,89,5
Sri Bannari Amman,2002,149,5.0,0,8,16
Dear Love,2020,120,5.0,0,0,11
Apoorva Mahaan,2015,135,5.0,0,8,16
Haidar Sultan,1982,120,5.0,0,18,13
3 Monkeys,2020,131,6.5,82,8,17
Carbon,2018,146,6.9,1115,224,9
Kaapalika,1973,131,7.8,5,0,9
Karunamayi,1987,137,5.0,0,0,6
Phone Bhoot,2021,120,5.0,0,513,5
Aag aur Angaray,1990,120,5.0,0,1,5
Athmasakhi,2016,120,5.0,0,0,9
Vachikava,2014,120,5.0,0,8,16
Krishna Arjun,2004,120,5.0,0,1,5
Rahi,1953,139,6.9,27,8,5
Chaukat Raja,1991,141,7.4,214,9,10
School Master,2010,143,5.0,0,8,6
Halla Gulla,2015,120,5.2,77,15,19
Monopoly the Game of Money,2012,120,5.0,0,24,5
Maga Maharaju,1983,120,6.8,30,5819,17
Band Baaja Babuchak,2017,123,5.0,0,5,4
Bebbuli Veta,1985,120,5.0,0,0,17
Gita,2008,120,5.0,0,8,17
Kusruthi Kuruppu,1998,135,5.8,40,58,9
